participant_id,TRIAL_INDEX,trial_index,article_batch,article_id,paragraph_id,difficulty_level,repeated_reading_trial,article_title,question,selected_answer,is_correct,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_INTEREST_AREA_ID,NEXT_SAC_DIRECTION,EYE_TRACKED,unique_paragraph_id,unique_trial_id
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,1,17071,276,385.4,204.1,1,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,2,17375,179,520.5,194.8,2,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,3,17573,174,674.9,200.2,3,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,4,17774,177,996.6,192.1,5,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,5,17994,186,1438.7,203.8,9,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,6,18219,149,1785.3,204.4,12,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,7,18427,146,1082.0,203.6,6,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,8,18593,153,950.2,203.7,5,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,9,18785,351,712.5,204.3,3,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,10,19161,207,1003.1,200.8,5,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,11,19388,174,1147.2,207.8,7,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,12,19595,165,1422.8,223.3,9,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,13,19805,198,1731.6,227.4,12,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,14,20025,317,1885.9,220.9,13,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,15,20358,388,1786.2,206.6,12,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,16,20885,183,1911.9,228.6,13,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,17,21150,138,597.5,301.3,16,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,18,21313,718,467.7,327.6,15,.,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,19,22173,343,440.3,329.6,15,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,20,22537,229,561.2,325.5,16,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,21,22791,338,445.9,326.7,15,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,22,23171,199,790.4,306.7,18,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,23,23393,135,652.7,322.8,16,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,24,23572,185,1179.8,335.1,20,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,25,23800,201,1613.1,337.4,25,RIGHT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,26,24026,177,1803.9,332.7,26,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,27,24230,164,1522.6,333.1,24,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
l42_2070,1,1,3,0,1,Adv,False,Food Shortages Could Force World into Vegetarianism,"According to Malik Falkenmark's report, what will happen if the world adopts the current diet trends of western nations?",A,True,28,24416,166,1315.2,332.4,22,LEFT,Right,3_0_1_Adv,l42_2070_3_0_1_Adv_r0
